Rank,H1B Visa Sponsor (Employer),Number of LCA,Average Salary
1,Amazon.Com Services,"10,969",149812.0
2,Cognizant Technology Solutions,"8,688",101773.0
3,Ernst & Young,"8,674",143378.0
4,Tata Consultancy Services,"8,120",105529.0
5,Google,"7,649",178184.0
6,Microsoft,"6,649",163672.0
7,Infosys,"4,926",103102.0
8,Meta Platforms,"4,566",199944.0
9,Intel,"3,242",145250.0
